size_fraction,ddt_hr,capture_fraction
0.0,1.0,0.0
0.0425546981067585,1.0,0.010095098756400845
0.085109396213517,1.0,0.02033650329188004
0.1276640943202755,1.0,0.03050475493781996
0.170218792427034,1.0,0.04067300658376008
0.2127734905337925,1.0,0.05084125822969999
0.255328188640551,1.0,0.061009509875639904
0.2978828867473095,1.0,0.07117776152158004
0.340437584854068,1.0,0.08134601316752006
0.3829922829608265,1.0,0.09151426481346008
0.425546981067585,1.0,0.10168251645940009
0.4681016791743435,1.0,0.11192392099487919
0.510656377281102,1.0,0.1220921726408192
0.5532110753878605,1.0,0.13226042428675924
0.595765773494619,1.0,0.14250182882223844
0.6383204716013775,1.0,0.15267008046817845
0.680875169708136,1.0,0.16291148500365754
0.7234298678148945,1.0,0.1731528895391367
0.765984565921653,1.0,0.18346744696415493
0.8085392640284115,1.0,0.19385515727871244
0.85109396213517,1.0,0.20438917337234808
0.936203358348687,1.0,0.22618873445501092
1.021312754562204,1.0,0.24959765910753473
1.106422150775721,1.0,0.27556693489392825
1.191531546989238,1.0,0.3051207022677396
1.276640943202755,1.0,0.3394294074615947
1.361750339416272,1.0,0.3805413313825895
1.446859735629789,1.0,0.42977322604242857
0.0,2.0,0.0
0.0425546981067585,2.0,0.0050475493782004225
0.085109396213517,2.0,0.010168251645939916
0.1276640943202755,2.0,0.01521580102414034
0.170218792427034,2.0,0.02033650329188004
0.2127734905337925,2.0,0.02545720555961953
0.255328188640551,2.0,0.03050475493781996
0.2978828867473095,2.0,0.03562545720555945
0.340437584854068,2.0,0.04074615947329915
0.3829922829608265,2.0,0.04579370885149957
0.425546981067585,2.0,0.05091441111923906
0.4681016791743435,2.0,0.05603511338697876
0.510656377281102,2.0,0.061155815654718254
0.5532110753878605,2.0,0.06620336503291868
0.595765773494619,2.0,0.07132406730065828
0.6383204716013775,2.0,0.07644476956839788
0.680875169708136,2.0,0.08163862472567654
0.7234298678148945,2.0,0.08675932699341615
0.765984565921653,2.0,0.09195318215069491
0.8085392640284115,2.0,0.09722019019751274
0.85109396213517,2.0,0.10263350402340883
0.936203358348687,2.0,0.11382589612289679
1.021312754562204,2.0,0.12604242867593263
1.106422150775721,2.0,0.13979517190929033
1.191531546989238,2.0,0.15566934893928303
1.276640943202755,2.0,0.17417702999268464
1.361750339416272,2.0,0.19553767373811262
1.446859735629789,2.0,0.2208485735186539
0.0,3.0,0.0
0.0425546981067585,3.0,0.003365032918800143
0.085109396213517,3.0,0.006730065837600494
0.1276640943202755,3.0,0.010168251645939916
0.170218792427034,3.0,0.013533284564740268
0.2127734905337925,3.0,0.016971470373079688
0.255328188640551,3.0,0.02033650329188004
0.2978828867473095,3.0,0.023774689100219463
0.340437584854068,3.0,0.027139722019019607
0.3829922829608265,3.0,0.030577907827359026
0.425546981067585,3.0,0.03401609363569845
0.4681016791743435,3.0,0.037381126554498795
0.510656377281102,3.0,0.04081931236283822
0.5532110753878605,3.0,0.04418434528163857
0.595765773494619,3.0,0.04762253108997801
0.6383204716013775,3.0,0.05106071689831741
0.680875169708136,3.0,0.054498902706656846
0.7234298678148945,3.0,0.05793708851499626
0.765984565921653,3.0,0.061448427212874746
0.8085392640284115,3.0,0.06503291880029252
0.85109396213517,3.0,0.06869056327724936
0.936203358348687,3.0,0.07644476956839788
1.021312754562204,3.0,0.08507681053401607
1.106422150775721,3.0,0.09502560351133868
1.191531546989238,3.0,0.10687637161667876
1.276640943202755,3.0,0.1209948792977322
1.361750339416272,3.0,0.13760058522311625
1.446859735629789,3.0,0.15705925384052663
0.0,6.0,0.0
0.0425546981067585,6.0,0.0016825164594000712
0.085109396213517,6.0,0.003365032918800143
0.1276640943202755,6.0,0.0050475493782004225
0.170218792427034,6.0,0.006803218727139565
0.2127734905337925,6.0,0.008485735186539844
0.255328188640551,6.0,0.010168251645939916
0.2978828867473095,6.0,0.011923920994879265
0.340437584854068,6.0,0.013606437454279337
0.3829922829608265,6.0,0.015362106803218686
0.425546981067585,6.0,0.017044623262618762
0.4681016791743435,6.0,0.01872713972201904
0.510656377281102,6.0,0.02048280907095818
0.5532110753878605,6.0,0.022238478419897532
0.595765773494619,6.0,0.0239209948792976
0.6383204716013775,6.0,0.025676664228236952
0.680875169708136,6.0,0.027432333577176303
0.7234298678148945,6.0,0.029188002926115442
0.765984565921653,6.0,0.03101682516459386
0.8085392640284115,6.0,0.03284564740307228
0.85109396213517,6.0,0.03482077542062905
0.936203358348687,6.0,0.03906364301389887
1.021312754562204,6.0,0.0441111923920995
1.106422150775721,6.0,0.05040234089246516
1.191531546989238,6.0,0.05837600585223109
1.276640943202755,6.0,0.06839795171909287
1.361750339416272,6.0,0.08039502560351132
1.446859735629789,6.0,0.09509875640087774
0.0,12.0,0.0
0.0425546981067585,12.0,0.000804681784930396
0.085109396213517,12.0,0.0016825164594000712
0.1276640943202755,12.0,0.002560351133869746
0.170218792427034,12.0,0.003365032918800143
0.2127734905337925,12.0,0.004242867593269818
0.255328188640551,12.0,0.005120702267739493
0.2978828867473095,12.0,0.005998536942209168
0.340437584854068,12.0,0.006876371616678843
0.3829922829608265,12.0,0.007681053401609239
0.425546981067585,12.0,0.008558888076078915
0.4681016791743435,12.0,0.00943672275054859
0.510656377281102,12.0,0.010314557425018266
0.5532110753878605,12.0,0.01119239209948794
0.595765773494619,12.0,0.012070226773957408
0.6383204716013775,12.0,0.012948061448427082
0.680875169708136,12.0,0.013899049012435829
0.7234298678148945,12.0,0.014776883686905502
0.765984565921653,12.0,0.01572787125091425
