bmp,pollutant,unit,N,ND_infl,ND_effl,dl,A,B,e1,C,D,E,e2,Low_Slope,High_Slope,MAD
Detention Basin,Dissolved Copper,ug/L,134,4,6,3.0,,,,,0.9236272807281125,0.9513943204363491,1.1465436448038817,0.8753243543458822,1.0207210594775327,1.2688514137317966
Sand Filter,Dissolved Copper,ug/L,128,4,8,3.0,0.06842614767415078,0.821328773505593,0.09032676133288714,,,,,0.7222222222222222,0.9148936102756174,1.1804019650747595
Vegetated Swale,Dissolved Copper,ug/L,127,5,3,3.0,,,,,1.188706301595668,0.8025579439621737,1.1598547343095786,0.7100117403120254,0.8795000412322551,1.2444785186877936
Wet Pond,Dissolved Copper,ug/L,212,16,27,3.0,2.239050679625116,0.32922355713999807,0.3082170574574224,,,,,0.25,0.3999999894036187,1.2866215613633103
Biofiltration/Bioretention,Dissolved Zinc,ug/L,81,1,4,5.0,,,,,6.593931010536991,0.26856688512436294,1.1061692766308953,0.18281550707458552,0.3816881096205451,1.3050419884607825
Detention Basin,Dissolved Zinc,ug/L,140,8,8,5.0,,,,,1.2401984126131742,0.9002380293927091,1.069339248746588,0.835621130929328,0.9602928444322281,1.3124211286680474
Sand Filter,Dissolved Zinc,ug/L,176,2,40,5.0,,,,,0.4860124167762393,0.740536240375053,1.8631585743995562,0.6224356751577328,0.8516059603459485,1.919933583469468
Vegetated Swale,Dissolved Zinc,ug/L,135,5,6,5.0,,,,,2.77240458323549,0.5679860784050093,1.2060550157406025,0.45718622659250935,0.6706339960759037,1.3497874275524826
Wet Pond,Dissolved Zinc,ug/L,234,20,27,5.0,,,,,2.480004942923664,0.643110051016774,1.0801212086422922,0.5207984510867515,0.7642015922570726,1.6472127675278565
Biofiltration/Bioretention,Fecal Coliform,MPN/100 mL,27,3,10,400.0,,,,,2.1676462003973334,0.5312402086342878,9.698424393225666,0.0,0.7931980201367962,4.997986782590709
Detention Basin,Fecal Coliform,MPN/100 mL,104,1,1,400.0,,,,,5.108471961699482,0.7765970165394386,1.5736723284639285,0.6514775783924994,0.906194947047279,2.0109542715713635
Sand Filter,Fecal Coliform,MPN/100 mL,100,3,6,400.0,,,,,1.9776906151289153,0.8332308567851365,2.2295368785930068,0.696795082269774,0.9568417654197242,2.6285016660987557
Vegetated Swale,Fecal Coliform,MPN/100 mL,64,12,4,400.0,,,,,5.2019760013725245,0.8023408584658163,0.9462900220069328,0.6332729161781256,0.8832157857131984,1.5156243370871099
